# Ax,Ay,Az,Magnitude,Time
4.750492500000000007e+00,5.931420300000000090e+00,-3.548473200000000549e+00,8.386929582327885768e+00,0.000000000000000000e+00
4.747647600000000523e+00,5.933872799999999614e+00,-3.548963700000000721e+00,8.387261023974589946e+00,8.999999999999999320e-03
4.747255200000000563e+00,5.933970900000000270e+00,-3.548571300000000317e+00,8.386942282331357745e+00,2.650000000000000133e-01
4.747745700000000291e+00,5.934559499999999765e+00,-3.548767500000000297e+00,8.387719383715992905e+00,5.210000000000000187e-01
4.747157099999999907e+00,5.934853799999999957e+00,-3.550337099999999690e+00,8.388258680029560210e+00,7.770000000000000240e-01
4.747549499999999867e+00,5.934265200000000462e+00,-3.549552300000000216e+00,8.387732187505546833e+00,1.032999999999999918e+00
4.746568500000000412e+00,5.934755700000000189e+00,-3.550239000000000367e+00,8.387814655856182355e+00,1.288999999999999924e+00
4.747745700000000291e+00,5.934559499999999765e+00,-3.550729500000000094e+00,8.388549676379046360e+00,1.544999999999999929e+00
